model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop,fair_feature_selected_prop,unfair_feature_selected_prop
GaussianNB,overall_accuracy_equality,0,1,0.10587843840449435,0.6800102239930746,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,2,0.10943437087242655,0.6799304670916491,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,3,0.09638845275387387,0.684630615404036,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,4,0.10064565536882117,0.6861365220054536,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,5,0.07265166379146962,0.6597810593234926,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,6,0.10783600395503906,0.6848948228324832,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,7,0.08649471213692381,0.671001070148261,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,8,0.09823991840685886,0.6905981585771007,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,9,0.11184104988970717,0.67033718936992,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,10,0.09092023902390164,0.6597128882518798,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,11,0.11374044062972427,0.6798475229927177,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,12,0.09261843955995527,0.6649514429740843,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,13,0.093665490344182,0.6850449926836825,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,14,0.09623702845817364,0.6882377596040302,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,15,0.09564799250808498,0.6693663011483203,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,16,0.10107537236774528,0.6897761776038149,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,17,0.07304821153413593,0.6517838933551543,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,18,0.09961223413727585,0.6591328499051208,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,19,0.10546839672029626,0.6864214209365392,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,20,0.08861667816306712,0.6877609799770807,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,21,0.10441304135735718,0.6809777923503775,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,22,0.09598256231936386,0.6529486880961632,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,23,0.09436783622849348,0.6883978283655652,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,24,0.07466652648519348,0.6589092132248167,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,25,0.11260769419855657,0.6745745717865816,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,26,0.11405392169848128,0.6710469481908278,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,27,0.11388798241272849,0.6769036126993577,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,28,0.09579941492364594,0.686408472362267,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,29,0.08988151562559954,0.6641308880979646,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,30,0.10186841675374295,0.6838912615117976,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,31,0.11930601608831734,0.6737436208365768,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,32,0.0827383216877933,0.6717787821257234,0.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,33,0.09925692792150828,0.6841121815080142,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,34,0.11710440087855994,0.6570974979336104,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,35,0.09130319551771512,0.6592581591205173,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,36,0.10205205137910445,0.6881348158771329,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,37,0.11414143799560839,0.6694842122714004,1.0,1.0,1.0
GaussianNB,overall_accuracy_equality,0,38,0.11379318742143202,0.6615898603708492,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,39,0.08563770503323992,0.6600432861053241,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,40,0.10930414607770361,0.6797493240052399,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,41,0.11124947216334866,0.6766846115624727,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,42,0.10144743790706437,0.6833309060782216,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,43,0.11088255459612728,0.6788205556430911,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,44,0.08656522567255151,0.6486981919593322,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,45,0.11177496320698518,0.6802680881173886,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,46,0.11373562382413602,0.6751195660820803,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,47,0.10822112657456437,0.6825023892031641,0.5,1.0,1.0
GaussianNB,overall_accuracy_equality,0,48,0.09643845195947343,0.6549214680662636,0.75,1.0,1.0
GaussianNB,overall_accuracy_equality,0,49,0.1094532615661016,0.6833277818021584,0.25,1.0,1.0
GaussianNB,overall_accuracy_equality,0,50,0.09187767171645517,0.6619299731593626,0.25,1.0,1.0
